1594806582521820080|360搜索| 并购Club Travel
1594806582521820081|雷洋智能|金沙股份新三板获得无投资
1594806582521820082|Mori|羿尊医药战略融资获得丽珠医药3000万人民币投资
1594806582521820083|晓多科技|Evident.ioA轮获得未披露机构990万美元投资
1594806582521820084|新游网络|龙声超声天使轮获得哈创投集团投资
1594806582521820085|Pratilipi|铭视科技新三板获得未披露机构投资
1594806582521820086|Regaind|盟云移软在无上市
1594806582521820087|明珞装备|华兴资本 并购IT桔子
1594806582521820088|不止少年|手由宝A轮获得奕铭投资等投资
1594806582521820089|贵州学程无忧|糖医生天使轮获得万川凯源1000万人民币投资
1594806582521820090|天丰新材|正夫口腔新三板获得未披露机构投资
1594806582521820091|三角兽科技|国星宇航战略融资获得成都技术转移投资投资
1594806582521820092|百年人寿|绿禾科技新三板获得未披露机构投资
1594806582521820093|中科闻歌|智航新能源未披露获得尤夫股份投资
1594806582521820094|哲达科技|福尔摩斯天使轮获得南京紫金科技创业投资有限公司投资
1594806582521820095|大族电机|CloudHealth TechC轮获得Sapphire Ventures等2000万美元投资
1594806582521820096|华艺园林|金贵银业战略融资获得投资
1594806582521820097|Shippo|中科睿赛控制A轮获得投资
1594806582521820098|牛智物联|荣辉矿业新三板获得无投资
1594806582521820099|悦小心|爱拼机B+轮获得华映资本等投资
1594806582521820100|盛运环保|充充动力战略融资获得扬州生态科技新城等1000万人民币投资
1594806582521820101|中科微光|U糖Pre-A轮获得国海创新资本1000万人民币投资
1594806582521820102|金玛硼业|Innovega债权融资获得100万美元投资
1594806582521820103|雅美资源|清微智能天使轮获得百度投资并购部等近亿人民币投资
1594806582521820104|铬业科技|黑河农商行未披露获得未披露机构9408万人民币投资
1594806582521820105|PeopleFund|珑璟光电A轮获得等数千万人民币投资
1594806582521820106|小象互娱|SignalFxA轮获得Andreessen Horowitz850万美元投资
1594806582521820107|维多宝|水滴互助A轮获得腾讯产业共赢基金等1.6亿人民币投资
1594806582521820108|Funding Circle|甘来信息天使轮获得松禾资本投资
1594806582521820109|雷神科技|医时信息科技A轮获得普华资本等投资
1594806582521820110|三网科技|光大分析战略融资获得吉林省科技基金投资
1594806582521820111|Nutmeg|宜和宜美A+轮获得济南同晟资本等8000万人民币投资
1594806582521820112|广信股份| 并购Tueo Health
1594806582521820113|彩虹电子玻璃|华龙证券未披露获得金石投资等投资
1594806582521820114|水中游鱼|安图生物获得未披露机构投资
1594806582521820115|人人电商|海蚂蚁A轮获得杭州易宸投资管理有限公司投资
1594806582521820116|智威富|微位科技A+轮获得深创投等2500万人民币投资
1594806582521820117|Flipkart|新康源新三板获得无投资
1594806582521820118|SENASIC琻捷|沃得农机A轮获得招银国际等投资
1594806582521820119|合恩医疗|耀胜体育新三板获得无投资
1594806582521820120|邦力达|Genome MedicalB轮获得Echo Health Ventures等2300万美元投资
1594806582521820121|角度旅行|InscriptaA轮获得未披露机构600万美元投资
1594806582521820122|头文科技|拜登集团天使轮获得深圳海仕通投资集团有限公司等1500万人民币投资
1594806582521820123|药捷安康|景未科技天使轮获得洪泰智造工场投资
1594806582521820124|优亿医疗|天元宠物新三板获得未披露机构投资
1594806582521820125|Alation|在一楼配送种子轮获得无260万人民币投资
1594806582521820126|和谐富腾|小乔跑步机B+轮获得嘉实资本等1.4亿人民币投资
1594806582521820127|猪之宝|走秀网A轮获得凯鹏华盈2000万美元投资
1594806582521820128|福华通达|瓴盛科技天使轮获得建广资产投资
1594806582521820129|新华保险|国路安战略融资获得国路安投资
1594806582521820130|StarVR|ST京健康新三板获得未披露机构投资
1594806582521820131|强联智创|太火鸟Pre-B轮获得京东金融等1000万美元投资
1594806582521820132|QPass|能一郎天使轮获得固德银赛创投投资
1594806582521820133|中烟香港|凯谱乐天使轮获得策源创投等投资
1594806582521820134|古德菲力|车享网A轮获得海通创新1亿人民币投资
1594806582521820135|益起玩|Carbon HealthB轮获得等3000万美元投资
1594806582521820136|邦盛科技|康希诺生物在香港联合交易所上市
1594806582521820137|ARKie|景旺电子获得未披露机构投资
1594806582521820138|微位科技|星逻智能天使轮获得遨问创投1000万人民币投资
1594806582521820139|悦动圈|LiveLikeA轮获得未披露机构500万美元投资
1594806582521820140|Liquefy|瑞幸咖啡天使轮获得愉悦资本10亿人民币投资
1594806582521820141|吃托邦|STATSports战略融资获得等129万美元投资
1594806582521820142|连尚文学|Bird战略融资获得Index Ventures等3亿美元投资
1594806582521820143|中兴新材|必由学新三板获得未披露机构投资
1594806582521820144|澳坤生物|融达新材料未披露获得国开发展基金有限公司投资
1594806582521820145|爱思拓|合力创新新三板获得无投资
1594806582521820146|金康精工|锐翌生物Pre-A轮获得松禾创新投资管理有限公司等4000万人民币投资
1594806582521820147|中国东方电气集团公司|泡椒网A轮获得前海夹金山资管数千万投资
1594806582521820148|华领医药|Mindesk天使轮获得HTC Vive等90万美元投资
1594806582521820149|Crew办公软件|五花头新三板获得无投资
1594806582521820150|Illumio|经过旅行天使轮获得未披露机构600万人民币投资
1594806582521820151|皇达科技|够快网盘A轮获得红杉中国等4000万人民币投资
1594806582521820152|圣牧高科|万达物业未披露获得花样年数十亿人民币投资
1594806582521820153|微度芯创|成都中小担C轮获得成都交子金融控股集团有限公司等投资
1594806582521820154|Evident.io|缔安科技新三板获得无投资
1594806582521820155|中旭建设|庆功林战略融资获得哈创投集团投资
1594806582521820156|四川晶肤|智普信天使轮获得乐搏500万人民币投资
1594806582521820157|苏州睿昕|无 10.12亿人民币并购武陟鼎兴
1594806582521820158|翔达颜料|北斗星医院天使轮获得协立投资等投资
1594806582521820159|寻道科技|兆晟科技新三板获得未披露机构投资
1594806582521820160|海保|Amino AppsB轮获得Google Capital等1920万美元投资
1594806582521820161|雨点金服|速家修种子轮获得成都市政府种子基金1000万人民币投资
